Task,Execution Time,Memory Usage,Book,nbCharacter
EgrepLike,2350,920,10585.txt,408110
KMP,1091,773,10585.txt,408110
Egrep,699,157,10585.txt,408110
EgrepLike,3880,1386,10587.txt,629423
KMP,1962,1411,10587.txt,629423
Egrep,630,159,10587.txt,629423
EgrepLike,1915,746,10588.txt,334491
KMP,881,707,10588.txt,334491
Egrep,610,143,10588.txt,334491
EgrepLike,657,424,10589.txt,110042
KMP,292,283,10589.txt,110042
Egrep,564,144,10589.txt,110042
EgrepLike,3583,1294,10590.txt,626951
KMP,1940,1186,10590.txt,626951
Egrep,603,150,10590.txt,626951
EgrepLike,1640,696,10591.txt,283726
KMP,739,579,10591.txt,283726
Egrep,568,147,10591.txt,283726
EgrepLike,1187,562,10592.txt,213198
KMP,549,398,10592.txt,213198
Egrep,633,135,10592.txt,213198
EgrepLike,561,398,10594.txt,90310
KMP,268,265,10594.txt,90310
Egrep,608,134,10594.txt,90310
EgrepLike,630,398,10595.txt,92719
KMP,254,265,10595.txt,92719
Egrep,655,135,10595.txt,92719
EgrepLike,1260,646,10596.txt,211728
KMP,644,554,10596.txt,211728
Egrep,553,140,10596.txt,211728
EgrepLike,1635,665,10597.txt,295137
KMP,865,566,10597.txt,295137
Egrep,551,144,10597.txt,295137
EgrepLike,3911,1204,10598.txt,624881
KMP,1896,1255,10598.txt,624881
Egrep,640,159,10598.txt,624881
EgrepLike,1559,631,10599.txt,268743
KMP,718,616,10599.txt,268743
Egrep,655,156,10599.txt,268743
EgrepLike,7576,2427,10600.txt,1312959
KMP,3813,2202,10600.txt,1312959
Egrep,599,153,10600.txt,1312959
EgrepLike,2598,1093,10601.txt,452900
KMP,1377,952,10601.txt,452900
Egrep,632,160,10601.txt,452900
EgrepLike,1085,578,10603.txt,188502
KMP,481,433,10603.txt,188502
Egrep,639,147,10603.txt,188502
EgrepLike,1518,749,10605.txt,275286
KMP,738,598,10605.txt,275286
Egrep,652,152,10605.txt,275286
EgrepLike,3250,1201,10606.txt,560682
KMP,1625,1216,10606.txt,560682
Egrep,641,153,10606.txt,560682
EgrepLike,702,456,10607.txt,112023
KMP,367,304,10607.txt,112023
Egrep,607,154,10607.txt,112023
EgrepLike,974,559,10608.txt,175123
KMP,458,419,10608.txt,175123
Egrep,560,141,10608.txt,175123
EgrepLike,8108,2433,10609.txt,1328014
KMP,3815,2335,10609.txt,1328014
Egrep,644,145,10609.txt,1328014
EgrepLike,6346,2048,10610.txt,1143629
KMP,3156,1914,10610.txt,1143629
Egrep,637,162,10610.txt,1143629
EgrepLike,1971,761,10611.txt,343747
KMP,884,733,10611.txt,343747
Egrep,603,149,10611.txt,343747
EgrepLike,1943,712,10612.txt,328185
KMP,869,691,10612.txt,328185
Egrep,656,139,10612.txt,328185
EgrepLike,1746,730,10613.txt,292340
KMP,732,588,10613.txt,292340
Egrep,654,149,10613.txt,292340
EgrepLike,576,441,10614.txt,95928
KMP,254,294,10614.txt,95928
Egrep,578,149,10614.txt,95928
EgrepLike,4420,1450,10616.txt,739538
KMP,1993,1374,10616.txt,739538
Egrep,574,155,10616.txt,739538
EgrepLike,600,305,10617.txt,100422
KMP,265,305,10617.txt,100422
Egrep,604,154,10617.txt,100422
EgrepLike,245,305,10618.txt,35696
KMP,94,152,10618.txt,35696
Egrep,631,155,10618.txt,35696
EgrepLike,2136,727,10619.txt,334312
KMP,841,695,10619.txt,334312
Egrep,600,140,10619.txt,334312
EgrepLike,853,417,10620.txt,141824
KMP,384,417,10620.txt,141824
Egrep,586,141,10620.txt,141824
EgrepLike,5077,1525,56667-0.txt,748684
KMP,2626,1490,56667-0.txt,748684
Egrep,637,160,56667-0.txt,748684
